# name                 sensor  value
CPU0_DTS             0x01    37 C
CPU1_DTS             0x02    35 C
LAN_Area             0x05    35 C
SYS_Air_Inlet        0x06    23 C
MB_Air_Inlet         0x07    25 C
SYS_Air_Outlet       0x08    31 C
PCH                  0x0a    31 C
GPU0_Core0_TEMP      0x20    34 C
GPU1_Core0_TEMP      0x22    35 C
GPU2_Core0_TEMP      0x24    37 C
GPU3_Core0_TEMP      0x26    36 C
GPU4_Core0_TEMP      0x28    34 C
GPU5_Core0_TEMP      0x2a    36 C
GPU6_Core0_TEMP      0x2c    35 C
GPU7_Core0_TEMP      0x2e    36 C
SYS_FAN_1            0x32    3060 RPM
SYS_FAN_2            0x33    3240 RPM
SYS_FAN_3            0x34    3150 RPM
SYS_FAN_4            0x35    2880 RPM
SYS_FAN_5            0x36    2970 RPM
SYS_FAN_6            0x37    2880 RPM
